Value
1329
1329
917
1441
899
1027
1111
1182
876
1237
1091
1187
1363
958
1047
1545
1066
1372
1551
931
813
1027
1022
919
1527
1020
834
977
894
858
764
921
950
1364
1226
1210
1539
