Wall time,Step,Value
1700652499.9330513,172800,-1.0
1700652554.9180117,238240,-1.0
1700652725.9122663,441920,-1.0
1700652799.7013493,525088,-1.0
1700652883.6938624,624768,-1.0
1700652998.5472372,761888,-1.0
1700653183.1115131,977184,0.0
1700653272.3653808,1081120,0.0
1700653319.3467703,1131552,0.0
1700653550.2289038,1404832,-1.0
1700653578.7544928,1438048,0.0
1700653600.6273081,1461120,-1.0
1700653629.4180257,1495040,0.0
1700653643.132892,1510816,0.0
1700653963.767187,1883808,0.0
1700653984.9769444,1906048,0.0
1700654471.9498808,2452480,-1.0
1700654542.6397166,2526496,0.0
1700654655.9311814,2648128,0.0
1700654682.662102,2674336,-1.0
1700655060.906871,3052160,0.0
1700655214.7459826,3208608,0.0
1700655245.7192585,3236416,0.0
1700655544.5132468,3541856,0.0
1700655578.1141794,3578944,0.0
1700655627.651791,3631264,0.0
1700656059.0000882,4014752,-1.0
1700656152.7312446,4105440,0.0
1700656165.5538054,4114816,0.0
1700656235.9348695,4179648,-1.0
1700656397.9404342,4325568,0.0
1700656690.8811467,4564224,0.0
1700656985.6090317,4838976,0.0
1700657261.0041256,5108736,0.0
1700657371.421497,5212160,0.0
1700657443.448063,5286720,0.0
1700657478.2592902,5320544,0.0
1700657556.4018712,5390752,0.0
1700657649.5625796,5487840,0.0
1700657876.459241,5703744,0.0
1700658049.2324204,5872288,0.0
1700658087.2279906,5909504,0.0
1700658207.3815432,6022528,0.0
1700658226.3878045,6042528,0.0
1700658291.4551868,6100992,0.0
1700658467.5295584,6273248,0.0
1700658530.3240163,6330272,0.0
1700658586.3079057,6384288,0.0
1700658623.7323244,6421504,0.0
1700658846.896145,6623680,0.0
1700659028.1967256,6783872,0.0
1700659048.4426024,6803648,0.0
1700659168.9518113,6903680,-1.0
1700659250.8764005,6979104,0.0
1700659332.3831985,7049920,0.0
1700659626.9023318,7315840,-1.0
1700659858.8074157,7515552,0.0
1700659888.884353,7542912,0.0
1700660089.0880163,7731552,0.0
1700660180.5702047,7814848,0.0
1700660488.4723697,8075424,-1.0
1700660670.7386837,8220608,0.0
1700660851.3978727,8391264,0.0
1700661122.5963466,8653152,-1.0
1700661126.376116,8658784,0.0
1700661194.0008228,8726016,-1.0
1700661241.8804727,8768960,0.0
1700661279.4340816,8807200,0.0
1700661310.2174504,8835808,0.0
1700661335.0388021,8863040,-1.0
