Wall time,Step,Value
1700509029.5385985,160128,-1.0
1700509079.8086493,221568,-1.0
1700509228.2227376,405920,-1.0
1700509289.8480825,480640,-1.0
1700509363.586225,569824,-1.0
1700509479.9157176,704448,-1.0
1700509648.2904465,903936,-1.0
1700509729.4797866,1004480,0.0
1700509769.944189,1054464,-1.0
1700509983.177045,1310720,-1.0
1700510012.3385956,1343552,0.0
1700510021.8497915,1358016,0.0
1700510048.5136683,1390784,-1.0
1700510062.5327997,1407104,-1.0
1700510349.580145,1760160,0.0
1700510367.795784,1783360,0.0
1700510832.9836156,2304256,0.0
1700510890.4692013,2376064,0.0
1700510978.6941588,2491168,-1.0
1700510994.904159,2514496,0.0
1700511257.6975858,2855392,-1.0
1700511377.9783976,3012512,0.0
1700511398.1486707,3036736,0.0
1700511637.5536103,3329600,0.0
1700511707.5770528,3414272,0.0
1700512002.0018015,3774496,0.0
1700512068.7291474,3857024,-1.0
1700512082.1546772,3873376,0.0
1700512123.91147,3925344,-1.0
1700512243.991943,4072992,0.0
1700512446.263686,4303040,0.0
1700512674.3562915,4558464,0.0
1700512867.3735723,4813888,0.0
1700512940.0276475,4911264,0.0
1700513001.0294964,4985920,0.0
1700513026.533437,5018368,-1.0
1700513076.1626577,5081472,-1.0
1700513146.9063468,5169568,0.0
1700513323.6024323,5383520,0.0
1700513464.006487,5545536,0.0
1700513489.7417052,5577952,-1.0
1700513584.2205546,5689280,0.0
1700513597.4975123,5704544,0.0
1700513645.8072853,5762752,0.0
1700513789.8743713,5928576,-1.0
1700513842.2038157,5982592,0.0
1700513893.8391094,6034400,-1.0
1700513927.4037604,6067168,0.0
1700514090.7796183,6257792,-1.0
1700514231.8094034,6415840,0.0
1700514245.9242449,6431008,0.0
1700514340.668897,6533664,0.0
1700514407.8633525,6600640,0.0
1700514478.5425127,6670272,0.0
1700514671.4110944,6921152,-1.0
1700514808.2368436,7096256,0.0
1700514827.9021404,7123968,0.0
1700514967.4776862,7303904,0.0
1700515035.9832432,7389568,-1.0
1700515233.1505353,7646240,0.0
1700515336.0072618,7779200,0.0
1700515462.8548756,7943104,0.0
1700515659.352923,8194080,0.0
1700515662.7876568,8200416,0.0
1700515709.9054053,8259616,0.0
1700515740.9913976,8302304,0.0
1700515766.445391,8335168,0.0
1700515789.2751558,8364064,0.0
1700515812.4422646,8392288,0.0
1700515829.5614018,8416544,0.0
1700515836.0637991,8422432,0.0
1700516122.3582962,8794432,0.0
1700516203.903085,8897056,0.0
1700516233.5866833,8937952,0.0
1700516259.4783802,8971584,0.0
1700516284.9935243,9004480,-1.0
1700516567.7320151,9370080,0.0
1700516600.3618243,9411232,-1.0
1700516663.1026661,9491968,0.0
1700516706.5600588,9548960,0.0
1700516726.127248,9572896,0.0
1700516750.0604455,9603168,0.0
1700516774.830973,9634656,0.0
1700516833.2389321,9712672,0.0
1700516855.5888302,9741120,0.0
1700516879.2271588,9771072,0.0
1700516934.0570714,9842912,0.0
1700517132.3631232,10097344,0.0
1700517188.5246713,10171392,0.0
1700517286.8894267,10297952,-1.0
1700517287.7309656,10299328,0.0
1700517335.8707888,10360512,0.0
1700517596.1433043,10697952,-1.0
1700517670.4400194,10793504,0.0
1700518274.329561,11494944,0.0
1700518325.952682,11542240,-1.0
