Value
1655
1781
1634
1532
1818
935
1338
1645
1429
1664
1808
1827
1550
1813
1789
1414
1832
1537
1398
1638
1670
1195
1391
1841
1436
1429
1495
1624
1978
1544
1657
1515
1491
1826
1677
1740
1443
1758
1189
1749
1307
1774
1983
1225
1767
1415
2005
1576
1988
1530
1580
1400
1546
1355
1666
1820
1047
1130
1335
1456
1366
