Wall time,Step,Value
1700123163.5275607,176608,-1.0
1700123223.702306,252480,-1.0
1700123399.4155812,464288,-1.0
1700123478.4328814,557056,0.0
1700123572.3072033,662560,-1.0
1700123715.088987,814912,-1.0
1700123960.0415022,1058048,0.0
1700124053.520381,1172672,-1.0
1700124095.6228359,1224544,0.0
1700124349.9750953,1524992,0.0
1700124380.2372425,1562080,0.0
1700124393.5398428,1577408,0.0
1700124433.4063237,1622720,-1.0
1700124442.905558,1636448,0.0
1700124809.5631747,2050272,-1.0
1700124828.0963142,2071168,-1.0
1700125361.288636,2668928,-1.0
1700125428.9990199,2749408,-1.0
1700125540.3449035,2878336,0.0
1700125556.1670513,2896672,0.0
1700125563.6322925,2903712,0.0
1700125968.7092202,3318880,-1.0
1700126109.920742,3495776,0.0
1700126129.232616,3521664,-1.0
1700126395.6518776,3852736,0.0
1700126424.126203,3888608,0.0
1700126468.3681018,3946048,0.0
1700126787.2560987,4349120,0.0
1700126862.1581514,4443296,0.0
1700126870.9234607,4456448,0.0
1700126922.3095174,4521984,0.0
1700127046.6185298,4679648,-1.0
1700127252.7041566,4940960,0.0
1700127485.7740092,5235136,0.0
1700127716.99047,5527072,0.0
1700127801.6315286,5636096,0.0
1700127864.6639056,5715776,0.0
1700127894.6325188,5750816,0.0
1700127951.208199,5825472,-1.0
1700128032.6485,5930208,0.0
1700128217.720422,6162336,0.0
1700128361.3782763,6346624,0.0
1700128389.5949314,6383296,-1.0
1700128490.1006908,6509536,0.0
1700128504.4048626,6528352,0.0
1700128552.6148267,6588032,0.0
1700128623.8888962,6680768,0.0
1700128701.5890784,6779072,0.0
1700128750.2999232,6840608,0.0
1700128798.9716473,6900864,0.0
1700128829.469012,6941568,0.0
1700128999.6987712,7158752,-1.0
1700129138.71151,7335808,0.0
1700129157.4691565,7357184,0.0
1700129240.8101532,7465632,-1.0
1700129300.6684937,7539904,0.0
1700129364.9856584,7622176,0.0
1700129592.383031,7913216,0.0
1700129751.8671837,8114368,0.0
1700129777.5924215,8147136,0.0
1700129933.9561963,8347072,0.0
1700130010.6248198,8445376,0.0
1700130240.651725,8733632,0.0
1700130358.8949516,8883552,0.0
1700130505.4674716,9068576,0.0
1700130733.2292953,9353792,-1.0
1700130741.493572,9363296,0.0
1700130795.4526052,9434272,0.0
1700130829.0975268,9476960,-1.0
1700130858.359098,9515520,0.0
1700130884.3853784,9549152,-1.0
1700130908.5447974,9580448,0.0
1700130930.1082232,9606272,0.0
1700130931.4950979,9608480,0.0
1700131253.8997056,10023552,0.0
1700131337.7699444,10130592,0.0
1700131373.919767,10174720,0.0
1700131403.6631203,10215968,0.0
